SR NO.,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price,,,,,,,,
221,Ford Ecosport,08-Jul-05,46600,2,PETROL,DL-12,Manual,SUV,619000,,,,,,,,
222,Ford Ecosport,07-Jul-05,122062,1,DIESEL,UP-14,Manual,SUV,396000,,,,,,,,
223,Ford Ecosport,09-Jul-05,85389,1,DIESEL,GJ-01,Manual,SUV,632000,,,,,,,,
224,Ford Ecosport,13-Jul-05,21724,1,PETROL,TS-03,Automatic,SUV,1027000,,,,,,,,
225,Ford Ecosport,06-Jul-05,80250,1,PETROL,MH-03,Manual,SUV,493000,,,,,,,,
226,Ford Ecosport,08-Jul-05,100601,2,DIESEL,TS-12,Manual,SUV,534000,,,,,,,,
227,Ford Ecosport,11-Jul-05,29878,1,PETROL,TS-09,Manual,SUV,814000,,,,,,,,
228,Ford Ecosport,08-Jul-05,84070,2,PETROL,DL-10,Manual,SUV,529000,,,,,,,,
229,Ford Ecosport,12-Jul-05,27669,1,PETROL,KA-01,Automatic,SUV,981000,,,,,,,,
230,Ford Ecosport,09-Jul-05,93995,1,PETROL,MH-05,Manual,SUV,552000,,,,,,,,
231,Ford Ecosport,10-Jul-05,84606,1,PETROL,DL-12,Manual,SUV,721000,,,,,,,,
232,Ford Ecosport,12-Jul-05,14618,1,PETROL,KA-02,Manual,SUV,1010000,,,,,,,,
233,Ford Ecosport,09-Jul-05,41247,1,PETROL,MH-04,Automatic,SUV,776000,,,,,,,,
234,Ford Ecosport,08-Jul-05,96841,1,DIESEL,UP-16,Manual,SUV,473000,,,,,,,,
235,Ford Ecosport,09-Jul-05,67481,2,PETROL,KA-03,Automatic,SUV,726000,,,,,,,,
236,Ford Ecosport,09-Jul-05,86439,1,DIESEL,GJ-05,Manual,SUV,616000,,,,,,,,
237,Ford Ecosport,10-Jul-05,117803,1,PETROL,,Manual,SUV,670000,,,,,,,,
238,Ford Ecosport,09-Jul-05,85126,2,PETROL,KA-05,Automatic,SUV,733000,,,,,,,,
