bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,50000,Delhi,9200,First Owner,4,150,Bajaj,,,,
Bajaj Avenger 220cc,100000,Bangalore,30294,First Owner,5,350,Royal Enfield,,,,
Bajaj Avenger 220cc,66000,Delhi,19756,First Owner,8,350,Royal Enfield,,,,
Bajaj Avenger 220cc,77000,Delhi,13000,First Owner,8,350,Royal Enfield,,,,
Bajaj Avenger 220cc,92500,Delhi,11000,First Owner,6,350,Royal Enfield,,,,
Bajaj Avenger 220cc,57000,Bangalore,28948,First Owner,5,200,Bajaj,,,,
Bajaj Avenger 220cc,72500,Delhi,10000,First Owner,10,350,Royal Enfield,,,,
Bajaj Avenger 220cc,80000,Kolkata,12000,First Owner,2,160,Honda,,,,
Bajaj Avenger 220cc,123600,Jaipur,7702,First Owner,3,350,Royal Enfield,,,,
Bajaj Avenger 220cc,950000,Chennai,312,First Owner,3,1300,Suzuki,,,,
Bajaj Avenger 220cc,107000,Ahmedabad,17000,First Owner,4,350,Royal Enfield,,,,
Bajaj Avenger 220cc,600000,Bangalore,16000,First Owner,5,821,Ducati,,,,
Bajaj Avenger 220cc,80000,Delhi,3500,First Owner,3,150,Yamaha,,,,
Bajaj Avenger 220cc,75000,Bhubaneshwar,11050,First Owner,4,150,Suzuki,,,,
Bajaj Avenger 220cc,43778,Ernakulam,948,First Owner,2,125,Hero,,,,
Bajaj Avenger 220cc,118000,Delhi,11200,Second Owner,5,200,KTM,,,,
Bajaj Avenger 220cc,68000,Bangalore,10407,First Owner,5,150,Yamaha,,,,
Bajaj Avenger 220cc,27000,Bangalore,23000,First Owner,8,125,Bajaj,,,,
Bajaj Avenger 220cc,48500,Delhi,5500,First Owner,2,100,Hero,,,,
Bajaj Avenger 220cc,15000,Delhi,38000,First Owner,15,223,Hero,,,,
Bajaj Avenger 220cc,95000,Navi Mumbai,23000,First Owner,5,200,KTM,,,,
Bajaj Avenger 220cc,145000,Amritsar,4500,First Owner,4,200,KTM,,,,
Bajaj Avenger 220cc,62000,Delhi,11227,First Owner,3,150,Yamaha,,,,
Bajaj Avenger 220cc,25000,Hyderabad,45000,First Owner,9,100,Hero,,,,
